1247780070, 2017-10-26 06:16:38
1235006430, 2017-10-17 07:00:52
1226877249, 2017-10-12 08:00:42
1215215638, 2017-10-04 07:01:07
1213486251, 2017-10-03 06:58:07
1202660036, 2017-09-26 06:57:29
1182121699, 2017-09-13 06:57:07
1180619830, 2017-09-12 06:58:57
1174112013, 2017-09-08 07:00:55
1171143185, 2017-09-06 06:59:15
1169491924, 2017-09-05 06:59:40
1158156311, 2017-08-29 06:39:13
1146617593, 2017-08-22 07:00:20
1136624384, 2017-08-16 06:54:15
1038096432, 2017-06-15 06:59:48
1027130707, 2017-06-08 02:00:29
1016159513, 2017-06-01 06:59:26
1011371779, 2017-05-29 07:01:07
1003414486, 2017-05-24 07:01:14
995542160, 2017-05-19 06:57:49
994728688, 2017-05-18 06:57:38
992410352, 2017-05-17 06:40:16
989654600, 2017-05-16 06:59:20
979801408, 2017-05-10 06:56:17
978247551, 2017-05-09 07:58:22
956281419, 2017-04-24 06:58:46
951137912, 2017-04-20 07:16:58
932051998, 2017-04-07 06:59:08
927748315, 2017-04-04 06:56:57
908979866, 2017-03-21 06:56:43
894848145, 2017-03-10 14:22:53
885750088, 2017-03-02 07:01:14
884437682, 2017-03-01 07:02:34
882727813, 2017-02-28 07:18:12
866406193, 2017-02-14 06:43:16
858376288, 2017-02-07 06:57:11
853760497, 2017-02-03 07:00:20
853163673, 2017-02-02 07:21:23
846181763, 2017-01-27 07:01:29
845557924, 2017-01-26 07:20:38
838237040, 2017-01-20 06:54:21
837203942, 2017-01-19 07:02:08
836799468, 2017-01-18 06:58:15
827407616, 2017-01-09 06:58:00
822691148, 2017-01-05 07:00:49
821094950, 2017-01-04 06:58:56
820191558, 2017-01-03 06:55:51
815930741, 2016-12-30 06:58:39
808779998, 2016-12-22 06:59:16
807942937, 2016-12-21 06:58:28
803791542, 2016-12-16 07:00:54
800507755, 2016-12-12 06:41:35
795262268, 2016-12-06 06:59:10
794547874, 2016-12-05 06:39:12
781760568, 2016-11-21 06:58:23
770043934, 2016-11-08 07:00:27
762792721, 2016-11-01 06:57:34
761852713, 2016-10-31 07:01:11
754715103, 2016-10-24 07:00:34
751466386, 2016-10-21 07:00:17
750592908, 2016-10-20 06:58:08
749804892, 2016-10-19 07:01:18
747875621, 2016-10-17 07:01:20
743538568, 2016-10-13 06:57:08
742489802, 2016-10-12 06:39:26
740483857, 2016-10-10 07:01:02
737372920, 2016-10-07 06:58:48
735207265, 2016-10-05 06:59:52
729831558, 2016-09-30 07:17:56
729007323, 2016-09-29 06:56:59
726776167, 2016-09-27 06:56:24
726278980, 2016-09-26 06:59:56
722774970, 2016-09-23 07:00:54
717379168, 2016-09-16 07:02:20
704896200, 2016-09-08 07:01:24
704115000, 2016-09-07 06:41:56
698699602, 2016-09-02 07:21:33
689773943, 2016-08-26 06:40:51
681689241, 2016-08-19 07:00:26
677222953, 2016-08-15 07:01:29
639226901, 2016-07-12 07:23:57
633211512, 2016-07-07 07:01:47
632205981, 2016-07-06 06:40:48
630469548, 2016-07-04 07:01:01
625692632, 2016-06-30 06:59:20
624812188, 2016-06-29 06:40:14
622882117, 2016-06-27 07:01:08
618359572, 2016-06-23 07:00:49
616326531, 2016-06-21 06:43:53
610101727, 2016-06-15 06:39:27
609690628, 2016-06-14 07:19:52
604129896, 2016-06-09 07:01:14
601807111, 2016-06-07 07:01:50
596383625, 2016-06-02 06:42:37
589106970, 2016-05-26 06:58:58
587897597, 2016-05-25 07:00:15
586699581, 2016-05-24 07:01:52
586051185, 2016-05-23 07:00:06
579253719, 2016-05-17 07:02:09
559499695, 2016-04-28 06:58:43
519714346, 2016-03-15 07:00:34
104

